Frequent 0-itemsets:
578 (1290)
649 (1292)
540 (1293)
504 (1296)
665 (1297)
574 (1297)
792 (1306)
804 (1315)
963 (1327)
678 (1329)
749 (1330)
58 (1330)
618 (1337)
576 (1337)
335 (1345)
946 (1350)
10 (1351)
41 (1353)
707 (1354)
815 (1358)
265 (1359)
448 (1370)
319 (1371)
834 (1373)
147 (1383)
583 (1389)
310 (1390)
4 (1394)
25 (1395)
240 (1399)
308 (1402)
423 (1412)
949 (1414)
234 (1416)
143 (1417)
496 (1428)
890 (1437)
906 (1444)
611 (1444)
500 (1444)
294 (1445)
154 (1447)
424 (1448)
162 (1450)
28 (1454)
33 (1460)
198 (1461)
950 (1463)
97 (1466)
736 (1470)
820 (1473)
846 (1480)
208 (1483)
326 (1488)
641 (1494)
686 (1495)
461 (1498)
469 (1502)
594 (1516)
964 (1518)
812 (1518)
995 (1521)
259 (1522)
630 (1523)
405 (1525)
185 (1529)
867 (1530)
534 (1531)
1 (1535)
168 (1538)
981 (1542)
516 (1544)
486 (1547)
129 (1547)
85 (1555)
639 (1572)
952 (1574)
521 (1582)
857 (1588)
572 (1589)
343 (1599)
68 (1601)
51 (1612)
769 (1622)
740 (1632)
673 (1635)
982 (1640)
351 (1641)
884 (1645)
605 (1652)
31 (1666)
580 (1667)
887 (1671)
814 (1672)
385 (1676)
17 (1683)
735 (1689)
275 (1692)
967 (1695)
910 (1695)
577 (1695)
765 (1705)
130 (1711)
43 (1721)
403 (1722)
45 (1728)
935 (1742)
100 (1749)
923 (1753)
984 (1756)
687 (1762)
975 (1764)
115 (1775)
932 (1786)
805 (1789)
290 (1793)
704 (1794)
110 (1801)
853 (1804)
227 (1818)
623 (1845)
427 (1856)
332 (1861)
763 (1862)
90 (1875)
658 (1881)
449 (1890)
214 (1893)
800 (1916)
706 (1923)
841 (1927)
897 (1935)
913 (1939)
440 (1943)
893 (1947)
55 (1959)
746 (1982)
52 (1983)
35 (1984)
192 (2004)
373 (2007)
210 (2009)
826 (2022)
349 (2041)
774 (2046)
878 (2047)
411 (2047)
832 (2062)
450 (2082)
970 (2086)
387 (2089)
196 (2096)
620 (2100)
280 (2108)
472 (2125)
738 (2129)
334 (2146)
6 (2149)
809 (2163)
579 (2164)
27 (2165)
204 (2174)
744 (2177)
73 (2179)
116 (2193)
296 (2210)
874 (2237)
803 (2237)
523 (2244)
229 (2281)
638 (2288)
780 (2306)
480 (2309)
161 (2320)
242 (2325)
663 (2354)
69 (2370)
788 (2386)
38 (2402)
70 (2411)
392 (2420)
921 (2425)
477 (2462)
78 (2471)
48 (2472)
276 (2479)
634 (2492)
778 (2514)
674 (2527)
752 (2578)
54 (2595)
285 (2600)
593 (2601)
151 (2611)
617 (2614)
236 (2618)
274 (2628)
653 (2634)
413 (2637)
132 (2641)
21 (2666)
606 (2668)
112 (2680)
797 (2684)
390 (2685)
140 (2687)
661 (2693)
998 (2713)
676 (2717)
522 (2725)
960 (2732)
239 (2742)
57 (2743)
782 (2767)
93 (2777)
561 (2783)
175 (2791)
631 (2793)
526 (2793)
944 (2794)
871 (2810)
844 (2814)
569 (2835)
548 (2843)
854 (2847)
694 (2847)
72 (2852)
758 (2860)
597 (2883)
471 (2894)
571 (2902)
581 (2943)
381 (2959)
675 (2976)
918 (3012)
279 (3014)
885 (3043)
509 (3044)
886 (3053)
793 (3063)
350 (3069)
825 (3085)
8 (3090)
798 (3103)
614 (3134)
487 (3135)
75 (3151)
598 (3219)
510 (3281)
795 (3361)
895 (3385)
12 (3415)
489 (3420)
346 (3470)
71 (3507)
205 (3605)
956 (3626)
862 (3649)
401 (3667)
888 (3686)
947 (3690)
919 (3710)
541 (3735)
775 (3771)
720 (3864)
183 (3883)
966 (3921)
538 (3982)
914 (4037)
283 (4082)
682 (4132)
470 (4137)
32 (4248)
39 (4258)
789 (4309)
362 (4388)
460 (4438)
438 (4511)
145 (4559)
177 (4629)
937 (4681)
883 (4902)
120 (4973)
692 (4993)
419 (5057)
494 (5102)
217 (5375)
684 (5408)
354 (5835)
722 (5845)
766 (6265)
829 (6810)
529 (7057)
368 (7828)
Frequent 2-itemsets:
itemset (occurrence)
719 157 (519)
842 572 (592)
842 411 (603)
842 579 (600)
842 803 (607)
842 350 (601)
801 392 (664)
801 569 (503)
801 862 (674)
969 458 (788)
969 208 (806)
969 290 (797)
969 888 (810)
879 825 (537)
626 496 (761)
158 583 (639)
158 617 (637)
158 354 (644)
481 143 (558)
481 919 (536)
481 460 (526)
912 348 (562)
428 94 (508)
325 75 (500)
366 183 (616)
546 923 (600)
546 661 (610)
546 947 (608)
546 217 (599)
708 978 (569)
708 883 (609)
105 815 (616)
105 944 (626)
105 862 (616)
105 494 (622)
458 208 (796)
458 290 (786)
458 888 (796)
688 132 (580)
978 883 (601)
394 217 (543)
515 33 (824)
515 346 (849)
515 283 (835)
515 217 (843)
716 4 (576)
716 373 (585)
197 878 (544)
591 529 (509)
899 854 (539)
819 765 (787)
819 70 (798)
819 684 (800)
309 90 (536)
309 620 (501)
309 793 (507)
309 120 (502)
701 675 (540)
665 419 (533)
963 631 (591)
963 541 (590)
963 494 (611)
678 185 (664)
678 960 (669)
678 471 (810)
58 27 (537)
58 354 (643)
335 509 (639)
41 541 (589)
707 867 (504)
815 944 (626)
815 862 (615)
815 494 (625)
448 887 (621)
448 538 (723)
834 175 (543)
583 617 (631)
583 354 (660)
4 373 (572)
240 956 (524)
143 919 (564)
143 460 (555)
154 168 (574)
33 346 (844)
33 283 (845)
33 217 (852)
950 403 (541)
208 290 (803)
208 888 (829)
461 392 (502)
461 569 (500)
461 862 (514)
995 534 (750)
995 470 (754)
185 960 (677)
185 471 (680)
534 470 (764)
516 744 (678)
857 413 (731)
857 21 (729)
857 793 (734)
572 411 (610)
572 579 (601)
572 803 (604)
572 350 (613)
673 116 (577)
884 704 (540)
884 937 (594)
580 871 (541)
814 829 (501)
385 684 (639)
17 956 (607)
17 541 (613)
735 780 (527)
735 631 (535)
910 175 (713)
765 70 (789)
765 684 (812)
130 274 (544)
935 192 (775)
935 638 (513)
935 487 (519)
935 888 (535)
100 362 (595)
923 661 (623)
923 947 (859)
923 460 (574)
923 217 (625)
923 684 (514)
984 793 (656)
984 914 (546)
975 606 (682)
290 888 (826)
704 825 (1102)
704 39 (1107)
853 623 (791)
853 571 (793)
853 795 (806)
853 883 (571)
227 390 (1049)
227 12 (657)
227 722 (995)
623 571 (783)
623 795 (805)
90 620 (550)
90 793 (519)
90 510 (510)
90 120 (523)
214 956 (577)
214 354 (775)
893 494 (572)
746 966 (618)
746 692 (578)
52 598 (539)
192 638 (529)
192 487 (517)
192 888 (534)
210 829 (508)
349 634 (512)
349 888 (530)
774 883 (557)
878 538 (767)
411 579 (617)
411 803 (826)
411 350 (624)
450 937 (561)
620 793 (519)
620 510 (509)
620 120 (511)
472 6 (635)
472 32 (609)
6 676 (769)
6 32 (607)
579 803 (619)
579 350 (630)
27 354 (529)
296 829 (736)
296 368 (634)
803 350 (634)
523 998 (561)
229 758 (516)
638 132 (540)
638 487 (523)
638 888 (529)
638 120 (500)
780 631 (540)
780 720 (587)
780 538 (511)
480 354 (540)
242 392 (524)
242 758 (669)
242 471 (685)
242 489 (526)
663 871 (624)
663 471 (633)
69 285 (513)
69 871 (515)
69 362 (757)
788 956 (733)
38 918 (506)
38 362 (617)
70 684 (860)
392 569 (535)
392 489 (866)
392 862 (881)
477 766 (525)
674 720 (537)
752 419 (597)
752 354 (548)
54 998 (637)
54 944 (640)
285 871 (523)
285 947 (677)
285 32 (687)
593 895 (631)
593 862 (615)
593 120 (642)
617 522 (622)
617 885 (632)
617 354 (680)
236 956 (521)
236 541 (510)
236 829 (566)
653 368 (548)
413 21 (756)
413 793 (766)
132 12 (785)
132 120 (512)
21 57 (661)
21 918 (511)
21 793 (765)
21 205 (620)
21 362 (523)
797 419 (622)
390 12 (687)
390 722 (1042)
661 947 (637)
661 217 (693)
998 944 (637)
960 597 (504)
960 471 (935)
960 766 (621)
57 918 (504)
57 362 (538)
57 937 (782)
57 368 (568)
782 598 (800)
782 529 (862)
93 789 (538)
561 346 (666)
561 888 (678)
561 217 (519)
175 766 (552)
631 581 (580)
631 541 (625)
631 494 (659)
944 862 (659)
944 494 (654)
871 471 (643)
569 862 (552)
854 419 (519)
72 541 (846)
72 183 (575)
72 937 (628)
758 471 (694)
758 401 (604)
597 766 (569)
571 795 (838)
571 401 (708)
581 966 (624)
581 419 (546)
675 886 (823)
918 362 (532)
279 489 (547)
279 766 (501)
885 120 (507)
509 937 (643)
793 510 (535)
793 914 (568)
793 470 (581)
793 120 (547)
825 39 (1187)
798 862 (513)
487 510 (646)
487 888 (558)
487 217 (546)
75 775 (787)
75 438 (772)
75 684 (797)
75 829 (510)
598 529 (943)
510 120 (542)
510 217 (547)
895 862 (635)
895 120 (685)
12 120 (503)
12 722 (740)
346 888 (689)
346 283 (910)
346 217 (1336)
71 766 (673)
205 529 (554)
956 541 (570)
956 354 (586)
862 120 (665)
862 494 (720)
401 460 (554)
888 217 (539)
947 32 (720)
947 177 (600)
947 217 (716)
919 460 (591)
541 183 (529)
541 494 (694)
775 177 (510)
183 766 (608)
966 438 (676)
283 217 (926)
682 494 (714)
682 368 (1193)
470 368 (581)
39 145 (734)
39 419 (511)
39 368 (565)
789 829 (1194)
460 684 (619)
460 368 (502)
438 684 (825)
438 368 (518)
145 419 (631)
937 368 (701)
883 494 (671)
120 829 (575)
692 766 (535)
692 368 (928)
494 368 (860)
684 766 (613)
354 722 (566)
766 368 (504)
829 529 (584)
829 368 (1194)
529 368 (640)
Frequent 3-itemsets:
itemset (occurrence)
842 572 411 (561)
842 572 579 (558)
842 572 803 (562)
842 572 350 (561)
842 411 579 (568)
842 411 803 (575)
842 411 350 (566)
842 579 803 (570)
842 579 350 (562)
842 803 350 (570)
801 392 862 (637)
969 458 208 (755)
969 458 290 (748)
969 458 888 (756)
969 208 290 (764)
969 208 888 (771)
969 290 888 (765)
158 583 617 (590)
158 583 354 (595)
158 617 354 (597)
546 923 661 (592)
546 923 947 (584)
546 923 217 (576)
546 661 947 (592)
546 661 217 (585)
546 947 217 (577)
708 978 883 (542)
105 815 944 (566)
105 815 862 (547)
105 815 494 (552)
105 944 862 (559)
105 944 494 (557)
105 862 494 (549)
458 208 290 (751)
458 208 888 (757)
458 290 888 (750)
515 33 346 (797)
515 33 283 (786)
515 33 217 (789)
515 346 283 (806)
515 346 217 (809)
515 283 217 (799)
716 4 373 (531)
819 765 70 (698)
819 765 684 (699)
819 70 684 (700)
963 631 541 (540)
963 631 494 (546)
963 541 494 (549)
678 185 960 (652)
678 185 471 (657)
678 960 471 (658)
815 944 862 (552)
815 944 494 (553)
815 862 494 (546)
583 617 354 (586)
33 346 283 (802)
33 346 217 (802)
33 283 217 (793)
208 290 888 (764)
995 534 470 (667)
185 960 471 (656)
857 413 21 (688)
857 413 793 (691)
857 21 793 (695)
572 411 579 (560)
572 411 803 (567)
572 411 350 (565)
572 579 803 (559)
572 579 350 (557)
572 803 350 (563)
765 70 684 (695)
935 192 638 (504)
935 192 487 (500)
935 192 888 (505)
923 661 947 (591)
923 661 217 (584)
923 947 217 (583)
704 825 39 (1035)
853 623 571 (713)
853 623 795 (720)
853 571 795 (715)
227 390 12 (607)
227 390 722 (907)
227 12 722 (609)
623 571 795 (704)
411 579 803 (573)
411 579 350 (562)
411 803 350 (573)
472 6 32 (545)
579 803 350 (565)
296 829 368 (501)
242 758 471 (607)
663 871 471 (568)
54 998 944 (578)
285 947 32 (609)
593 895 862 (573)
593 895 120 (579)
593 862 120 (572)
413 21 793 (700)
390 12 722 (629)
661 947 217 (583)
782 598 529 (737)
561 346 888 (605)
631 541 494 (554)
944 862 494 (550)
75 438 684 (672)
895 862 120 (571)
346 283 217 (827)
682 494 368 (591)
Frequent 4-itemsets:
itemset (occurrence)
842 572 411 579 (531)
842 572 411 803 (535)
842 572 411 350 (532)
842 572 579 803 (531)
842 572 579 350 (528)
842 572 803 350 (534)
842 411 579 803 (542)
842 411 579 350 (533)
842 411 803 350 (541)
842 579 803 350 (535)
969 458 208 290 (719)
969 458 208 888 (725)
969 458 290 888 (720)
969 208 290 888 (734)
158 583 617 354 (557)
546 923 661 947 (578)
546 923 661 217 (571)
546 923 947 217 (564)
546 661 947 217 (572)
105 815 944 862 (510)
105 815 944 494 (512)
105 815 862 494 (500)
105 944 862 494 (507)
458 208 290 888 (720)
515 33 346 283 (763)
515 33 346 217 (764)
515 33 283 217 (755)
515 346 283 217 (773)
819 765 70 684 (630)
963 631 541 494 (513)
678 185 960 471 (648)
815 944 862 494 (502)
33 346 283 217 (766)
857 413 21 793 (664)
572 411 579 803 (533)
572 411 579 350 (529)
572 411 803 350 (535)
572 579 803 350 (528)
923 661 947 217 (568)
853 623 571 795 (655)
227 390 12 722 (578)
411 579 803 350 (535)
593 895 862 120 (562)
Frequent 5-itemsets:
itemset (occurrence)
842 572 411 579 803 (507)
842 572 411 579 350 (503)
842 572 411 803 350 (509)
842 572 579 803 350 (503)
842 411 579 803 350 (509)
969 458 208 290 888 (693)
546 923 661 947 217 (559)
515 33 346 283 217 (732)
572 411 579 803 350 (504)
