Frequent 0-itemsets:
438 1 11 (7620)
438 1 6 (8226)
438 11 3 (7230)
438 11 6 (16564)
438 3 6 (7991)
278 27 7 (8604)
278 27 11 (8564)
278 27 6 (10076)
278 7 11 (8532)
278 7 6 (10026)
278 1 6 (5069)
278 11 3 (5559)
278 11 6 (12249)
278 3 6 (7138)
303 148 218 (7841)
303 148 11 (7729)
303 148 6 (8354)
303 218 1 (5056)
303 218 11 (7848)
303 218 6 (8895)
303 1 11 (7461)
303 1 6 (8462)
303 11 3 (6811)
303 11 6 (15559)
303 3 6 (8189)
205 215 11 (5053)
205 215 6 (5706)
205 27 7 (11266)
205 27 11 (11405)
205 27 3 (6385)
205 27 6 (13663)
205 7 11 (11199)
205 7 3 (6301)
205 7 6 (13372)
205 218 6 (5088)
205 1 11 (5504)
205 1 6 (6341)
205 11 3 (6964)
205 11 6 (15673)
205 3 6 (8575)
215 148 6 (5007)
215 27 11 (5290)
215 27 6 (5909)
215 7 11 (4976)
215 7 6 (5585)
215 218 6 (5459)
215 1 11 (5754)
215 1 6 (6476)
215 11 3 (6993)
215 11 6 (15309)
215 3 6 (8384)
90 148 218 (9187)
90 148 1 (5984)
90 148 11 (9078)
90 148 6 (9522)
90 7 6 (5291)
90 218 1 (6303)
90 218 11 (9341)
90 218 6 (10093)
90 1 11 (10047)
90 1 6 (10923)
90 11 3 (8119)
90 11 6 (18979)
90 3 6 (9057)
69 148 218 (5618)
69 148 11 (5668)
69 148 6 (6083)
69 7 6 (5391)
69 218 11 (5973)
69 218 6 (6771)
69 1 11 (6750)
69 1 6 (7646)
69 11 3 (7552)
69 11 6 (16824)
69 3 6 (9040)
490 11 6 (7261)
490 3 6 (6347)
446 148 218 (5334)
446 148 11 (5203)
446 148 6 (5679)
446 218 11 (5514)
446 218 6 (6360)
446 1 11 (6349)
446 1 6 (7444)
446 11 3 (6654)
446 11 6 (14632)
446 3 6 (8538)
136 148 218 (5662)
136 148 11 (5603)
136 148 6 (6090)
136 7 6 (5079)
136 218 11 (5910)
136 218 6 (6813)
136 1 11 (7744)
136 1 6 (8904)
136 11 3 (7611)
136 11 6 (16962)
136 3 6 (9413)
40 77 6 (5484)
40 148 218 (6848)
40 148 11 (6659)
40 148 6 (7423)
40 218 11 (6927)
40 218 6 (8136)
40 1 11 (7679)
40 1 6 (8912)
40 11 3 (7866)
40 11 6 (17862)
40 3 6 (9721)
316 148 218 (5859)
316 148 11 (5891)
316 148 6 (6323)
316 218 11 (6152)
316 218 6 (6897)
316 1 11 (7083)
316 1 6 (8134)
316 11 3 (7817)
316 11 6 (17311)
316 3 6 (9956)
83 148 218 (6621)
83 148 11 (6633)
83 148 6 (7232)
83 27 7 (10960)
83 27 11 (10559)
83 27 3 (5632)
83 27 6 (12712)
83 7 1 (5587)
83 7 11 (12983)
83 7 3 (7113)
83 7 6 (15964)
83 218 11 (7116)
83 218 6 (8078)
83 1 11 (8810)
83 1 6 (10293)
83 11 3 (10578)
83 11 6 (23881)
83 3 6 (13167)
294 11 3 (5543)
294 11 6 (10228)
294 3 6 (9187)
138 77 6 (4969)
138 148 218 (7171)
138 148 11 (6857)
138 148 6 (7743)
138 27 6 (5270)
138 7 11 (6037)
138 7 6 (7060)
138 218 11 (7318)
138 218 6 (8818)
138 1 11 (9128)
138 1 3 (5425)
138 1 6 (11193)
138 11 3 (9649)
138 11 6 (21008)
138 3 6 (12809)
2 148 218 (5540)
2 148 11 (5414)
2 148 6 (6007)
2 27 6 (5349)
2 7 11 (6170)
2 7 6 (7244)
2 218 11 (5747)
2 218 6 (6746)
2 1 11 (7044)
2 1 6 (8769)
2 11 3 (9487)
2 11 6 (19624)
2 3 6 (13515)
77 64 11 (5427)
77 64 6 (6207)
77 148 218 (9330)
77 148 1 (5512)
77 148 11 (9319)
77 148 6 (10178)
77 27 11 (5958)
77 27 6 (6614)
77 7 11 (7386)
77 7 6 (8308)
77 218 1 (5838)
77 218 11 (9740)
77 218 6 (11179)
77 1 11 (11434)
77 1 3 (6151)
77 1 6 (13216)
77 11 3 (13482)
77 11 6 (29830)
77 3 6 (16731)
64 148 218 (9744)
64 148 1 (5604)
64 148 11 (9482)
64 148 6 (10455)
64 27 11 (5851)
64 27 6 (6631)
64 7 11 (7097)
64 7 6 (8158)
64 218 1 (6023)
64 218 11 (10008)
64 218 3 (5156)
64 218 6 (11586)
64 1 11 (11795)
64 1 3 (6656)
64 1 6 (14001)
64 11 3 (13518)
64 11 6 (29865)
64 3 6 (17455)
55 148 6 (4955)
55 7 6 (5258)
55 218 6 (5975)
55 1 11 (6608)
55 1 3 (5712)
55 1 6 (9088)
55 11 3 (11323)
55 11 6 (21940)
55 3 6 (17975)
148 27 7 (8346)
148 27 218 (10817)
148 27 1 (6048)
148 27 11 (10802)
148 27 3 (5227)
148 27 6 (11727)
148 7 218 (13366)
148 7 1 (7332)
148 7 11 (13244)
148 7 3 (6505)
148 7 6 (14585)
148 218 1 (25267)
148 218 11 (50098)
148 218 3 (25363)
148 218 6 (56838)
148 1 11 (24345)
148 1 3 (12165)
148 1 6 (27020)
148 11 3 (24207)
148 11 6 (55230)
148 3 6 (28097)
27 7 218 (9182)
27 7 1 (12352)
27 7 11 (30839)
27 7 3 (17830)
27 7 6 (37397)
27 218 1 (6463)
27 218 11 (11606)
27 218 3 (5915)
27 218 6 (13033)
27 1 11 (15077)
27 1 3 (8773)
27 1 6 (17828)
27 11 3 (20629)
27 11 6 (44923)
27 3 6 (26522)
4 7 6 (5694)
4 218 6 (5794)
4 1 11 (6781)
4 1 3 (6617)
4 1 6 (9805)
4 11 3 (12872)
4 11 6 (24408)
4 3 6 (21112)
7 218 1 (7930)
7 218 11 (14307)
7 218 3 (7445)
7 218 6 (16389)
7 1 11 (18220)
7 1 3 (10548)
7 1 6 (21733)
7 11 3 (25533)
7 11 6 (55835)
7 3 6 (32895)
218 1 11 (25790)
218 1 3 (13928)
218 1 6 (30182)
218 11 3 (26973)
218 11 6 (60630)
218 3 6 (33978)
1 11 3 (40268)
1 11 6 (86092)
1 3 6 (57802)
11 3 6 (143682)
Frequent 4-itemsets:
itemset (occurrence)
934 7 11 6 (5021)
255 148 218 11 (7004)
255 148 218 6 (7632)
255 148 11 6 (7000)
255 218 11 6 (7100)
662 136 11 6 (5916)
86 85 83 7 (6339)
86 85 83 11 (5084)
86 85 83 6 (6336)
86 85 27 7 (5350)
86 85 27 6 (5288)
86 85 7 11 (5939)
86 85 7 6 (7335)
86 85 11 6 (5956)
86 83 7 11 (5136)
86 83 7 6 (6405)
86 83 11 6 (5178)
86 27 7 6 (5403)
86 7 11 6 (6087)
85 83 27 7 (4961)
85 83 27 6 (4966)
85 83 7 11 (5428)
85 83 7 6 (6796)
85 83 11 6 (5454)
85 27 7 6 (5881)
85 7 11 6 (6586)
747 148 218 11 (4991)
747 148 218 6 (5283)
747 148 11 6 (5095)
747 218 11 6 (5209)
321 27 7 11 (5239)
321 27 7 6 (6153)
321 27 11 6 (5625)
321 7 11 6 (6359)
229 148 218 11 (5451)
229 148 218 6 (5804)
229 148 11 6 (5567)
229 218 11 6 (5734)
254 148 218 11 (6179)
254 148 218 6 (6617)
254 148 11 6 (6272)
254 218 11 6 (6386)
254 1 11 6 (5009)
28 32 27 7 (7121)
28 32 27 11 (5929)
28 32 27 6 (6989)
28 32 7 11 (7208)
28 32 7 6 (8541)
28 32 11 6 (7471)
28 27 7 11 (5751)
28 27 7 6 (6761)
28 27 11 6 (5943)
28 7 11 6 (7211)
32 27 7 11 (6156)
32 27 7 6 (7235)
32 27 11 6 (6359)
32 7 11 6 (7745)
155 148 218 11 (5904)
155 148 218 6 (6228)
155 148 11 6 (6038)
155 218 11 6 (6226)
155 1 11 6 (5654)
364 148 218 11 (5748)
364 148 218 6 (6071)
364 148 11 6 (5929)
364 218 11 6 (6071)
364 1 11 6 (5712)
25 148 218 11 (7163)
25 148 218 6 (7658)
25 148 11 6 (7283)
25 218 1 6 (4954)
25 218 11 6 (7488)
25 1 11 6 (6067)
49 27 7 6 (4970)
49 27 11 6 (8526)
49 7 11 6 (5036)
512 148 218 11 (6041)
512 148 218 6 (6386)
512 148 11 6 (6237)
512 218 11 6 (6420)
512 1 11 6 (6002)
897 87 7 6 (5260)
897 27 7 11 (7674)
897 27 7 6 (9165)
897 27 11 6 (7989)
897 7 11 6 (9853)
897 7 3 6 (5254)
504 148 218 11 (5122)
504 148 218 6 (5580)
504 148 11 6 (5428)
504 218 11 6 (5627)
56 148 218 11 (5584)
56 148 218 6 (5823)
56 148 11 6 (5895)
56 218 11 6 (6088)
56 1 11 6 (6987)
56 11 3 6 (5813)
273 148 218 11 (5757)
273 148 218 6 (6231)
273 148 11 6 (6099)
273 218 11 6 (6389)
273 1 11 6 (6323)
273 11 3 6 (5354)
737 11 3 6 (5367)
987 148 218 1 (5061)
987 148 218 11 (8149)
987 148 218 6 (9173)
987 148 1 11 (5796)
987 148 1 6 (6378)
987 148 11 6 (11368)
987 148 3 6 (5632)
987 218 1 6 (5386)
987 218 11 6 (8660)
987 1 11 6 (6291)
987 11 3 6 (5700)
135 148 218 11 (6210)
135 148 218 6 (6486)
135 148 11 6 (6543)
135 218 11 6 (6808)
135 1 11 6 (7848)
135 11 3 6 (6792)
269 148 218 6 (5102)
269 148 11 6 (5049)
269 218 11 6 (5222)
269 1 11 6 (5538)
269 11 3 6 (5038)
87 83 7 6 (5374)
87 27 7 11 (10099)
87 27 7 3 (5683)
87 27 7 6 (12028)
87 27 11 6 (10530)
87 27 3 6 (5617)
87 7 11 3 (5683)
87 7 11 6 (12704)
87 7 3 6 (6816)
87 11 3 6 (6097)
438 148 218 11 (5502)
438 148 218 6 (5688)
438 148 11 6 (5922)
438 218 11 6 (6109)
438 1 11 6 (7615)
438 11 3 6 (7209)
278 27 7 11 (6914)
278 27 7 6 (8078)
278 27 11 6 (8499)
278 7 11 6 (8461)
278 11 3 6 (5393)
303 148 218 11 (7155)
303 148 218 6 (7718)
303 148 11 6 (7711)
303 218 1 6 (4984)
303 218 11 6 (7827)
303 1 11 6 (7423)
303 11 3 6 (6704)
205 215 11 6 (5035)
205 27 7 11 (9001)
205 27 7 3 (4970)
205 27 7 6 (10630)
205 27 11 3 (4997)
205 27 11 6 (11323)
205 27 3 6 (6015)
205 7 11 6 (11110)
205 7 3 6 (5927)
205 1 11 6 (5468)
205 11 3 6 (6883)
215 27 11 6 (5274)
215 7 11 6 (4953)
215 1 11 6 (5705)
215 11 3 6 (6880)
90 148 218 1 (5763)
90 148 218 11 (8684)
90 148 218 6 (9099)
90 148 1 11 (5706)
90 148 1 6 (5948)
90 148 11 6 (9066)
90 218 1 11 (5854)
90 218 1 6 (6262)
