Frequent 0-itemsets:
itemset (occurrence)
{} (990002)
Frequent 1-itemsets:
itemset (occurrence)
229 (10034)
254 (10077)
28 (10111)
361 (10122)
667 (10616)
423 (10967)
32 (11069)
155 (11494)
378 (11508)
14 (11607)
364 (12167)
91 (12248)
25 (12668)
49 (12702)
512 (12921)
897 (14297)
504 (14546)
314 (14842)
56 (15752)
273 (17177)
737 (17645)
987 (17804)
135 (18313)
269 (18343)
87 (18484)
73 (18749)
438 (18910)
278 (20114)
303 (21246)
205 (21373)
215 (21592)
90 (22062)
69 (22631)
490 (23225)
446 (23270)
136 (23679)
40 (24082)
316 (27852)
83 (32212)
294 (32247)
138 (35127)
2 (42927)
77 (43454)
64 (48262)
55 (65412)
148 (69922)
27 (72134)
4 (78097)
7 (86898)
218 (88598)
1 (197522)
11 (364065)
3 (450031)
6 (601374)
Frequent 2-itemsets:
itemset (occurrence)
218 11 (61656)
218 3 (38673)
218 6 (77675)
1 11 (91882)
1 3 (84660)
1 6 (132113)
11 3 (161286)
11 6 (324013)
3 6 (265180)
Frequent 3-itemsets:
itemset (occurrence)
364 11 6 (10330)
25 11 6 (10712)
49 11 6 (10857)
512 11 6 (11049)
897 7 11 (9934)
897 7 6 (11942)
897 11 6 (10626)
504 11 6 (9918)
314 11 6 (10844)
56 11 6 (13418)
273 11 6 (12363)
737 11 6 (12413)
987 148 11 (11404)
987 148 6 (12993)
987 218 6 (10349)
987 11 6 (13061)
135 11 6 (15747)
269 11 6 (11558)
87 27 7 (12775)
87 27 11 (10610)
87 27 6 (12653)
87 7 11 (12800)
87 7 6 (15435)
87 11 6 (13696)
438 11 6 (16564)
278 27 6 (10076)
278 7 6 (10026)
278 11 6 (12249)
303 11 6 (15559)
205 27 7 (11266)
205 27 11 (11405)
205 27 6 (13663)
205 7 11 (11199)
205 7 6 (13372)
205 11 6 (15673)
215 11 6 (15309)
90 218 6 (10093)
90 1 11 (10047)
90 1 6 (10923)
90 11 6 (18979)
69 11 6 (16824)
446 11 6 (14632)
136 11 6 (16962)
40 11 6 (17862)
316 11 6 (17311)
316 3 6 (9956)
83 27 7 (10960)
83 27 11 (10559)
83 27 6 (12712)
83 7 11 (12983)
83 7 6 (15964)
83 1 6 (10293)
83 11 3 (10578)
83 11 6 (23881)
83 3 6 (13167)
294 11 6 (10228)
138 1 6 (11193)
138 11 6 (21008)
138 3 6 (12809)
2 11 6 (19624)
2 3 6 (13515)
77 148 6 (10178)
77 218 6 (11179)
77 1 11 (11434)
77 1 6 (13216)
77 11 3 (13482)
77 11 6 (29830)
77 3 6 (16731)
64 148 6 (10455)
64 218 11 (10008)
64 218 6 (11586)
64 1 11 (11795)
64 1 6 (14001)
64 11 3 (13518)
64 11 6 (29865)
64 3 6 (17455)
55 11 3 (11323)
55 11 6 (21940)
55 3 6 (17975)
148 27 218 (10817)
148 27 11 (10802)
148 27 6 (11727)
148 7 218 (13366)
148 7 11 (13244)
148 7 6 (14585)
148 218 1 (25267)
148 218 11 (50098)
148 218 3 (25363)
148 218 6 (56838)
148 1 11 (24345)
148 1 3 (12165)
148 1 6 (27020)
148 11 3 (24207)
148 11 6 (55230)
148 3 6 (28097)
27 7 1 (12352)
27 7 11 (30839)
27 7 3 (17830)
27 7 6 (37397)
27 218 11 (11606)
27 218 6 (13033)
27 1 11 (15077)
27 1 6 (17828)
27 11 3 (20629)
27 11 6 (44923)
27 3 6 (26522)
4 11 3 (12872)
4 11 6 (24408)
4 3 6 (21112)
7 218 11 (14307)
7 218 6 (16389)
7 1 11 (18220)
7 1 3 (10548)
7 1 6 (21733)
7 11 3 (25533)
7 11 6 (55835)
7 3 6 (32895)
218 1 11 (25790)
218 1 3 (13928)
218 1 6 (30182)
218 11 3 (26973)
218 11 6 (60630)
218 3 6 (33978)
1 11 3 (40268)
1 11 6 (86092)
1 3 6 (57802)
11 3 6 (143682)
Frequent 4-itemsets:
itemset (occurrence)
987 148 11 6 (11368)
87 27 7 11 (10099)
87 27 7 6 (12028)
87 27 11 6 (10530)
87 7 11 6 (12704)
205 27 7 6 (10630)
205 27 11 6 (11323)
205 7 11 6 (11110)
90 1 11 6 (10027)
83 27 7 6 (10865)
83 27 11 6 (10546)
83 7 11 6 (12961)
83 11 3 6 (10487)
77 1 11 6 (11340)
77 11 3 6 (13198)
64 218 11 6 (9973)
64 1 11 6 (11640)
64 11 3 6 (13146)
55 11 3 6 (10195)
148 27 218 11 (9925)
148 27 218 6 (10684)
148 27 11 6 (10779)
148 7 218 11 (12071)
148 7 218 6 (13204)
148 7 11 6 (13216)
148 218 1 11 (22502)
148 218 1 3 (10885)
148 218 1 6 (24709)
148 218 11 3 (21630)
148 218 11 6 (49866)
148 218 3 6 (24526)
148 1 11 3 (10544)
148 1 11 6 (24242)
148 1 3 6 (11705)
148 11 3 6 (23969)
27 7 1 11 (10384)
27 7 1 6 (11895)
27 7 11 3 (13689)
27 7 11 6 (30567)
27 7 3 6 (16581)
27 218 11 6 (11562)
27 1 11 6 (14906)
27 11 3 6 (20086)
4 11 3 6 (11494)
7 218 11 6 (14267)
7 1 11 6 (18035)
7 11 3 6 (24971)
218 1 11 3 (11176)
218 1 11 6 (25608)
218 1 3 6 (13060)
218 11 3 6 (26501)
1 11 3 6 (37743)
Frequent 5-itemsets:
itemset (occurrence)
87 27 7 11 6 (10027)
148 27 218 11 6 (9911)
148 7 218 11 6 (12057)
148 218 1 11 6 (22444)
148 218 1 3 6 (10638)
148 218 11 3 6 (21528)
148 1 11 3 6 (10493)
27 7 1 11 6 (10347)
27 7 11 3 6 (13574)
218 1 11 3 6 (11091)
